ID	Name	URL	CloudURL
aop-builder	AOP-Builder	https://crebuilder.vhp4safety.nl	NA
aopwiki	AOP-Wiki Snorql UI	https://aopwiki.cloud.vhp4safety.nl/	https://aopwiki.cloud.vhp4safety.nl/
aopwikiapi	AOP-Wiki API	https://aopwiki-api.cloud.vhp4safety.nl/api/marvinm2/AOPWikiQueries	https://aopwiki-api.cloud.vhp4safety.nl/api/marvinm2/AOPWikiQueries
arrayanalysis	ArrayAnalysis	NA	NA
biomodels	BioModels	https://www.ebi.ac.uk/biomodels/	NA
biotransformer	BioTransformer	https://biotransformer.ca/	NA
bridgedb	BridgeDb	https://bridgedb.cloud.vhp4safety.nl/	NA
cdkdepict	CDK Depict	https://cdkdepict.cloud.vhp4safety.nl/	NA
celldesigner	CellDesigner	https://www.celldesigner.org/	NA
comptox	CompTox	https://comptox.epa.gov/dashboard/	NA
copasi	COPASI	http://copasi.org/	NA
cplogd	cpLogD	https://cplogd.cloud.vhp4safety.nl/	https://cplogd.cloud.vhp4safety.nl/
decimer	DECIMER	https://decimer.ai/	NA
ema_documents	European Medicines Agency Documents	https://www.ema.europa.eu/en/search	NA
fairdomhub	FAIRDOMHub	https://fairdomhub.org/	NA
fairspace	Fairspace	https://www.thehyve.nl/services/fairspace	NA
flame	Flame	http://flame.cloud.vhp4safety.nl:8098/	NA
jrc_data_catalogue	Joint Research Centre Data Catalogue	https://data.jrc.ec.europa.eu/	NA
wikibase	VHP4Safety Wikibase User Interface	NA	https://kb.cloud.vhp4safety.nl/
oecd_qsar_toolbox	The OECD QSAR Toolbox	https://qsartoolbox.org/	
oppbk_model	OP PBK Model	http://oppbk.cloud.vhp4safety.nl/	http://oppbk.cloud.vhp4safety.nl/
opsin	OPSIN: Open Parser for Systematic IUPAC nomenclature	https://opsin.ch.cam.ac.uk/	NA
popgen	PopGen	http://xnet.hsl.gov.uk/Popgen/	NA
qsprpred	QSPRpred	NA	https://qsprpred.cloud.vhp4safety.nl/
sombie	SOM Prediction	https://sombie.cloud.vhp4safety.nl/	https://sombie.cloud.vhp4safety.nl/
sysrev	SysRev	https://sysrev.com/	NA
txg_mapr	TXG-MAPr	https://txg-mapr.eu/	NA
wikibase	VHP4Safety Wikibase	https://compoundcloud.wikibase.cloud/	NA
wikipathways_aop	WikiPathways - AOP Portal	http://aop.wikipathways.org/	
xploreaop	xploreaop	https://xploreaop.cloud.vhp4safety.nl/	NA
